,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
146,Shutter Island,(2010),138 min,8.2,63        ,"1,366,364",$128.01M,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
147,Batman Begins,(2005),140 min,8.2,70        ,"1,507,762",$206.85M,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
148,Hauru no ugoku shiro,(2004),119 min,8.2,82        ,"414,048",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
149,1917,(2019),119 min,8.2,78        ,"624,379",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
150,The Thing,(1982),109 min,8.2,57        ,"440,176",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
151,A Beautiful Mind,(2001),135 min,8.2,72        ,"952,406",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
152,There Will Be Blood,(2007),158 min,8.2,93        ,"604,608",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
153,The Truman Show,(1998),103 min,8.2,90        ,"1,121,214",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
154,Snatch,(2000),104 min,8.2,55        ,"876,105",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
155,Green Book,(2018),130 min,8.2,69        ,"521,902",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
156,Casino,(1995),178 min,8.2,73        ,"536,516",$42.44M,"In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite."
157,Unforgiven,(1992),130 min,8.2,85        ,"421,863",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
158,Kill Bill: Vol. 1,(2003),111 min,8.2,69        ,"1,143,690",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
159,Finding Nemo,(2003),100 min,8.2,90        ,"1,069,642",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
160,The Sixth Sense,(1999),107 min,8.2,64        ,"1,013,219",$293.51M,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
161,Die Hard,(1988),132 min,8.2,72        ,"903,263",$83.01M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
162,Der Untergang,(2004),156 min,8.2,82        ,"363,123",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
163,The Father,(I) (2020),97 min,8.2,88        ,"170,259",#131,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
164,Some Like It Hot,(1959),121 min,8.2,98        ,"273,797",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
165,Pan's Labyrinth,(2006),118 min,8.2,98        ,"682,233",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
166,Gone with the Wind,(1939),238 min,8.2,97        ,"323,098",$198.68M,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
167,Chinatown,(1974),130 min,8.2,92        ,"335,543",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
168,V for Vendetta,(2005),132 min,8.2,62        ,"1,142,990",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
169,L.A. Confidential,(1997),138 min,8.2,91        ,"594,369",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
170,The Great Escape,(1963),172 min,8.2,86        ,"250,042",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
171,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"552,969",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
172,The Elephant Man,(1980),124 min,8.2,78        ,"248,550",#156,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
173,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,8.2,72        ,"65,165",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
174,Ran,(1985),162 min,8.2,97        ,"129,642",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
175,El secreto de sus ojos,(2009),129 min,8.2,80        ,"214,602",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
176,Per qualche dollaro in più,(1965),132 min,8.2,74        ,"263,457",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
177,Tumbbad,(2018),104 min,8.2,****,"53,402",%^%^%^,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
178,Drishyam 2,(2022),140 min,8.2,****,"37,726",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
179,Klaus,(2019),96 min,8.2,65        ,"167,075",#178,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
180,Baahubali 2: The Conclusion,(2017),167 min,8.2,****,"107,422",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
181,Drishyam,(2015),163 min,8.2,****,"88,963",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
182,All About Eve,(1950),138 min,8.2,98        ,"134,358",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
183,Dial M for Murder,(1954),105 min,8.2,75        ,"181,095",$0.01M,A former tennis star arranges the murder of his adulterous wife.
184,The Treasure of the Sierra Madre,(1948),126 min,8.2,98        ,"128,242",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
185,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"99,558",%^%^%^,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
186,Yôjinbô,(1961),110 min,8.2,93        ,"126,181",#147,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
187,Rashômon,(1950),88 min,8.2,98        ,"173,168",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
188,Miracle in Cell No. 7,(2019),132 min,8.2,****,"51,910",%^%^%^,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
189,Tôkyô monogatari,(1953),136 min,8.2,100        ,"64,345",#209,"An old couple visit their children and grandchildren in the city, but receive little attention."
190,Zindagi Na Milegi Dobara,(2011),155 min,8.2,****,"81,664",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
191,Z,(1969),127 min,8.2,86        ,"30,064",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
192,Bacheha-Ye aseman,(1997),89 min,8.2,77        ,"76,968",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
193,Le salaire de la peur,(1953),131 min,8.2,85        ,"63,353",#195,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
